emailID,commentchannelID,commentWatch_time
Beverley.Lissi@gmail.com,141,21.31
Robinia.Concha@gmail.com,132,721.01
Jaime.Sisile@gmail.com,105,551.22
Claudina.Halsey@gmail.com,12,438.38
Florie.Katrine@gmail.com,14,265.39
Modestia.Llovera@gmail.com,8,282.08
Sandie.Chinua@gmail.com,69,817.39
Frances.Shirberg@gmail.com,77,125.3
Phedra.Darrell@gmail.com,147,289.08
Vanessa.Abernon@gmail.com,155,179.07
Cacilie.Glovsky@gmail.com,102,570.85
Leona.Cassius@gmail.com,143,551.19
Kirstin.Noman@gmail.com,88,560.94
Jackie.Zina@gmail.com,106,902.81
Robbi.Felecia@gmail.com,72,200.3
Michaelina.Cookie@gmail.com,10,541.63
Eugine.Creamer@gmail.com,46,946.48
Carol-Jean.Raama@gmail.com,34,73.09
Cherrita.Hermes@gmail.com,126,886.89
Phylis.Atonsah@gmail.com,141,920.01
Deirdre.Bartlett@gmail.com,95,166
Aimil.Maples@gmail.com,110,109.9
Bobinette.Iiette@gmail.com,138,153.43
Annaliese.Screens@gmail.com,89,919.25
Taffy.Dichy@gmail.com,102,319.02
Tina.Maryanne@gmail.com,149,163.92
Elyssa.Neva@gmail.com,45,35.5
Nataline.Astra@gmail.com,138,743.22
Agathe.Palocz@gmail.com,8,742.92
Gilda.Ambrosia@gmail.com,157,146.95
Orsola.Othilia@gmail.com,73,115.68
Tracey.Hachmin@gmail.com,140,264.58
Katharina.Pulsifer@gmail.com,147,792.88
Joane.Baylor@gmail.com,17,68.07
Claudina.Izaak@gmail.com,139,701.1
Tracey.Teryn@gmail.com,79,590.67
Ann-Marie.Jacobah@gmail.com,142,206.45
Randa.Hashim@gmail.com,54,2.02
Lilith.Shaver@gmail.com,85,146.13
Concettina.Adalbert@gmail.com,163,390.84
Jacenta.McNully@gmail.com,148,259.11
Lila.Angelis@gmail.com,56,309.63
Evita.Pattin@gmail.com,14,606.06
Roxane.Swigart@gmail.com,80,196.53
Justinn.Papageno@gmail.com,136,695.95
Bettine.Ashok@gmail.com,144,983.21
Nataline.Olympium@gmail.com,127,288.35
