emailID,likes_channelID,likesWatch_time
Beverley.Lissi@gmail.com,28,3.56
Robinia.Concha@gmail.com,151,2.48
Jaime.Sisile@gmail.com,27,4.58
Claudina.Halsey@gmail.com,34,2.09
Florie.Katrine@gmail.com,28,3.63
Modestia.Llovera@gmail.com,91,1.99
Sandie.Chinua@gmail.com,48,1.59
Frances.Shirberg@gmail.com,83,3.12
Phedra.Darrell@gmail.com,153,3.63
Vanessa.Abernon@gmail.com,18,4.16
Cacilie.Glovsky@gmail.com,98,2.75
Leona.Cassius@gmail.com,132,4.3
Kirstin.Noman@gmail.com,154,2.98
Jackie.Zina@gmail.com,154,2.03
Robbi.Felecia@gmail.com,87,1.3
Michaelina.Cookie@gmail.com,15,1.55
Eugine.Creamer@gmail.com,95,2.09
Carol-Jean.Raama@gmail.com,70,5.96
Cherrita.Hermes@gmail.com,29,3.45
Phylis.Atonsah@gmail.com,73,1.72
Deirdre.Bartlett@gmail.com,144,5.7
Aimil.Maples@gmail.com,106,3.72
Bobinette.Iiette@gmail.com,135,3.62
Annaliese.Screens@gmail.com,38,3.78
Taffy.Dichy@gmail.com,126,4.4
Tina.Maryanne@gmail.com,94,1.41
Elyssa.Neva@gmail.com,40,5.17
Nataline.Astra@gmail.com,5,5.14
Agathe.Palocz@gmail.com,138,2.48
Gilda.Ambrosia@gmail.com,115,5.18
Orsola.Othilia@gmail.com,134,2.67
Tracey.Hachmin@gmail.com,132,3.83
Katharina.Pulsifer@gmail.com,110,3.18
Joane.Baylor@gmail.com,97,3.02
Claudina.Izaak@gmail.com,118,1.76
Tracey.Teryn@gmail.com,59,5.06
Ann-Marie.Jacobah@gmail.com,69,5.84
Randa.Hashim@gmail.com,131,1.2
Lilith.Shaver@gmail.com,152,3.43
Concettina.Adalbert@gmail.com,141,4.04
Jacenta.McNully@gmail.com,69,5.2
Lila.Angelis@gmail.com,7,1.99
Evita.Pattin@gmail.com,96,1.02
Roxane.Swigart@gmail.com,13,4.35
Justinn.Papageno@gmail.com,25,3.99
Bettine.Ashok@gmail.com,99,2.59
Nataline.Olympium@gmail.com,106,2.6
Gusty.Yerkovich@gmail.com,127,4.35
Thalia.Freddi@gmail.com,53,4.98
Bobinette.Ehrman@gmail.com,130,5.69
Regina.Carolin@gmail.com,4,3.55
Halette.Cynar@gmail.com,19,3.7
Dulce.LaRue@gmail.com,42,4.53
Kate.Leary@gmail.com,131,2.92
Evita.Lipson@gmail.com,51,1.82
Tabbatha.Berriman@gmail.com,59,3.81
Elora.Faso@gmail.com,133,2.78
Genevra.Stephie@gmail.com,14,4.8
Damaris.Lissi@gmail.com,24,3.63
Bobbi.Nunci@gmail.com,63,5.19
Robbi.Noman@gmail.com,22,2.06
Ernesta.Rosette@gmail.com,133,3.76
Modestia.Lia@gmail.com,98,2.96
Brietta.Loeb@gmail.com,142,4.87
Nanete.Giff@gmail.com,82,2.17
Aurore.Merell@gmail.com,120,3.02
Gabriellia.Estella@gmail.com,102,2.55
Adriana.Verger@gmail.com,139,4.86
Myriam.Knowling@gmail.com,74,5.83
Luci.Kat@gmail.com,35,5.15
Wanda.Jacinda@gmail.com,10,1.55
Robbi.Ogren@gmail.com,23,4.97
Pierette.Jethro@gmail.com,96,5.47
Tomasina.Stover@gmail.com,157,2.59
Melisent.Dawkins@gmail.com,104,4.26
Laurene.Moina@gmail.com,45,3.28
Lolita.Yuille@gmail.com,132,2.78
Annice.O'Rourke@gmail.com,83,3.91
Dolli.Raama@gmail.com,16,1.92
Deane.Adamsen@gmail.com,141,4.81
Blondelle.Arne@gmail.com,38,5.36
Quintina.Minetta@gmail.com,4,1.87
Tani.Margret@gmail.com,154,4.71
Margette.Celestine@gmail.com,97,5.1
Katleen.Eugenia@gmail.com,17,4.45
Jenda.Chrystel@gmail.com,155,2.95
Sashenka.Carri@gmail.com,29,3.5
Debee.Delila@gmail.com,164,2.43
Lily.Land@gmail.com,62,1.23
Loree.Penelopa@gmail.com,98,1.2
Sharai.Salvidor@gmail.com,69,4.13
Aryn.Donell@gmail.com,12,5.05
Blinni.Lattie@gmail.com,75,1.61
Violet.Ventre@gmail.com,146,1.41
Violet.Berriman@gmail.com,58,2.49
Jessamyn.Tannie@gmail.com,7,2.94
Gwenneth.Aida@gmail.com,139,4.61
Ermengarde.Lory@gmail.com,16,3.43
Olivette.Elsinore@gmail.com,101,1.18
Alameda.Breed@gmail.com,130,1.79
Camile.Diann@gmail.com,63,4.22
Karena.Chandler@gmail.com,148,4.44
Shel.Hathaway@gmail.com,99,1.78
Linet.Tomasina@gmail.com,22,1.61
Feliza.Gombach@gmail.com,59,2.36
Farrah.Love@gmail.com,41,3.17
Yvonne.Clywd@gmail.com,119,1.88
Edith.Atonsah@gmail.com,152,1.97
Lila.Soneson@gmail.com,126,1.18
Ada.Raffo@gmail.com,29,5.8
Brandise.Baudin@gmail.com,161,3.04
Gwyneth.Marden@gmail.com,107,2.71
Mamie.Camden@gmail.com,131,3.18
Frank.Hillel@gmail.com,52,2.22
Teddie.Ummersen@gmail.com,37,1.18
Alexine.Eugenia@gmail.com,66,1.81
Caritta.Pitt@gmail.com,92,1.71
Brianna.Jenness@gmail.com,13,3.3
Berget.Graig@gmail.com,142,1.66
Hermione.Toffic@gmail.com,2,4.25
Lila.Ezar@gmail.com,30,3.63
Marylou.Sprage@gmail.com,27,5.61
Gretal.Fairweather@gmail.com,53,4.03
Devina.Kimmie@gmail.com,16,3.22
Andeee.Anselmi@gmail.com,51,4.58
Cindelyn.Solitta@gmail.com,48,5.5
Arabel.Hirsch@gmail.com,121,4.14
Jeanna.Ciapas@gmail.com,41,2.38
Myrtice.Hartnett@gmail.com,55,4.14
Pearline.Erich@gmail.com,112,3.56
Livvyy.Alwin@gmail.com,9,3.21
Sean.Abram@gmail.com,165,3.2
Almeta.Boycey@gmail.com,129,1.05
Tressa.Pelagias@gmail.com,151,3.77
Adore.Simmonds@gmail.com,72,5.29
Roslyn.Jenness@gmail.com,12,1.24
Cristabel.Teryn@gmail.com,123,4.27
Carilyn.Screens@gmail.com,140,1.62
Mariele.Dorothy@gmail.com,135,4.44
Pollyanna.Cherianne@gmail.com,73,5.25
Clary.Oscar@gmail.com,123,3.62
Merle.Ax@gmail.com,118,4.13
Fawne.Fillbert@gmail.com,106,5.4
Marnia.Cristi@gmail.com,27,5.73
Merry.Gombach@gmail.com,161,1.96
Minne.Adlare@gmail.com,20,3.9
Rebeca.Cleo@gmail.com,42,5.24
Gabi.Lipson@gmail.com,61,3
Esmeralda.Ricki@gmail.com,58,5.83
Maryellen.Durware@gmail.com,39,4.44
Myriam.Tillford@gmail.com,92,5.73
June.Valerio@gmail.com,73,1.91
Jemie.Wildermuth@gmail.com,8,5.88
Ofilia.McGrody@gmail.com,33,5.38
Agnese.Anselmi@gmail.com,158,2.58
Olwen.Michella@gmail.com,148,3.02
Libbie.Zeeba@gmail.com,115,5.05
Katuscha.Arathorn@gmail.com,70,3.68
Oralee.Rese@gmail.com,94,4.34
Cacilie.Kenney@gmail.com,11,3.87
Isa.Lynn@gmail.com,104,5.69
Lorne.Malvino@gmail.com,5,2.77
Sindee.Shuler@gmail.com,101,4.81
Tabbatha.Slifka@gmail.com,51,5.45
Clementine.Yusuk@gmail.com,127,1.48
Cristine.Clywd@gmail.com,106,2.25
Petronia.Brieta@gmail.com,133,4.06
Hayley.Land@gmail.com,113,5.62
Tera.Firmin@gmail.com,135,5.7
Annice.Melan@gmail.com,166,5.95
Viki.Janene@gmail.com,125,4.15
Kaja.Pozzy@gmail.com,144,1.89
Marline.Hurley@gmail.com,40,1.25
Ruthe.Tippets@gmail.com,72,1.54
Shel.Joli@gmail.com,35,1.27
Brianna.Bandeen@gmail.com,131,5.33
