emailID,subscribe_channelID,subscribeWatch_time
Beverley.Lissi@gmail.com,155,6.85
Robinia.Concha@gmail.com,76,1.88
Jaime.Sisile@gmail.com,75,9.4
Claudina.Halsey@gmail.com,19,1.06
Florie.Katrine@gmail.com,116,3.62
Modestia.Llovera@gmail.com,81,1.51
Sandie.Chinua@gmail.com,12,8.74
Frances.Shirberg@gmail.com,18,10.56
Phedra.Darrell@gmail.com,25,3.3
Vanessa.Abernon@gmail.com,85,9.47
Cacilie.Glovsky@gmail.com,90,8.51
Leona.Cassius@gmail.com,94,2.47
Kirstin.Noman@gmail.com,35,8.09
Jackie.Zina@gmail.com,92,9.36
Robbi.Felecia@gmail.com,118,6.55
Michaelina.Cookie@gmail.com,124,7.16
Eugine.Creamer@gmail.com,156,7.03
Carol-Jean.Raama@gmail.com,93,1.05
Cherrita.Hermes@gmail.com,138,3.4
Phylis.Atonsah@gmail.com,160,2.1
Deirdre.Bartlett@gmail.com,57,7.4
Aimil.Maples@gmail.com,104,9.01
Bobinette.Iiette@gmail.com,45,5.24
Annaliese.Screens@gmail.com,126,4.62
Taffy.Dichy@gmail.com,32,2.01
Tina.Maryanne@gmail.com,73,8.84
Elyssa.Neva@gmail.com,67,1.98
Nataline.Astra@gmail.com,78,7.65
Agathe.Palocz@gmail.com,126,1.16
Gilda.Ambrosia@gmail.com,47,3.46
Orsola.Othilia@gmail.com,148,4.32
Tracey.Hachmin@gmail.com,137,3.05
Katharina.Pulsifer@gmail.com,95,2.62
Joane.Baylor@gmail.com,50,7.66
Claudina.Izaak@gmail.com,111,10.57
Tracey.Teryn@gmail.com,41,2.16
Ann-Marie.Jacobah@gmail.com,158,3.05
Randa.Hashim@gmail.com,102,4.49
Lilith.Shaver@gmail.com,81,9.17
Concettina.Adalbert@gmail.com,37,6.06
Jacenta.McNully@gmail.com,6,9.2
Lila.Angelis@gmail.com,64,10.29
Evita.Pattin@gmail.com,3,7.01
Roxane.Swigart@gmail.com,53,5.44
Justinn.Papageno@gmail.com,78,10.52
Bettine.Ashok@gmail.com,27,3.5
Nataline.Olympium@gmail.com,60,4.49
Gusty.Yerkovich@gmail.com,167,1.07
Thalia.Freddi@gmail.com,72,5.22
Bobinette.Ehrman@gmail.com,20,10.04
Regina.Carolin@gmail.com,2,10.4
Halette.Cynar@gmail.com,127,6.76
Dulce.LaRue@gmail.com,70,2.64
Kate.Leary@gmail.com,121,4.22
Evita.Lipson@gmail.com,115,10.55
Tabbatha.Berriman@gmail.com,46,4.88
Elora.Faso@gmail.com,107,3.3
Genevra.Stephie@gmail.com,158,7.34
Damaris.Lissi@gmail.com,166,4.39
Bobbi.Nunci@gmail.com,66,2.56
Robbi.Noman@gmail.com,160,6.38
Ernesta.Rosette@gmail.com,130,10.79
Modestia.Lia@gmail.com,55,2.27
Brietta.Loeb@gmail.com,151,4.57
Nanete.Giff@gmail.com,24,5.77
Aurore.Merell@gmail.com,99,6.82
Gabriellia.Estella@gmail.com,6,2.89
Adriana.Verger@gmail.com,42,3.14
Myriam.Knowling@gmail.com,9,5.56
Luci.Kat@gmail.com,105,6.74
Wanda.Jacinda@gmail.com,25,9.56
Robbi.Ogren@gmail.com,153,6.01
Pierette.Jethro@gmail.com,99,2.58
Tomasina.Stover@gmail.com,113,5.37
Melisent.Dawkins@gmail.com,128,5.24
Laurene.Moina@gmail.com,7,8.02
Lolita.Yuille@gmail.com,43,9.11
Annice.O'Rourke@gmail.com,43,3.96
Dolli.Raama@gmail.com,38,4.45
Deane.Adamsen@gmail.com,142,10.39
Blondelle.Arne@gmail.com,122,1.97
Quintina.Minetta@gmail.com,135,10.71
Tani.Margret@gmail.com,132,10.02
Margette.Celestine@gmail.com,1,5.03
Katleen.Eugenia@gmail.com,69,2.31
Jenda.Chrystel@gmail.com,47,10.83
Sashenka.Carri@gmail.com,77,3.27
Debee.Delila@gmail.com,75,2.86
Lily.Land@gmail.com,160,10.04
Loree.Penelopa@gmail.com,49,2.08
Sharai.Salvidor@gmail.com,34,10.04
Aryn.Donell@gmail.com,29,1.88
Blinni.Lattie@gmail.com,105,8.17
Violet.Ventre@gmail.com,41,5.21
Violet.Berriman@gmail.com,70,3.37
Jessamyn.Tannie@gmail.com,166,1.61
Gwenneth.Aida@gmail.com,82,7.87
Ermengarde.Lory@gmail.com,105,4.17
Olivette.Elsinore@gmail.com,18,7.58
Alameda.Breed@gmail.com,105,7.23
Camile.Diann@gmail.com,112,2.99
Karena.Chandler@gmail.com,46,6.82
Shel.Hathaway@gmail.com,18,3.67
Linet.Tomasina@gmail.com,1,10.24
Feliza.Gombach@gmail.com,53,2.93
Farrah.Love@gmail.com,15,9.97
Yvonne.Clywd@gmail.com,137,8.82
Edith.Atonsah@gmail.com,114,10.57
Lila.Soneson@gmail.com,32,6.51
Ada.Raffo@gmail.com,89,8.21
Brandise.Baudin@gmail.com,25,4.96
Gwyneth.Marden@gmail.com,134,4.62
Mamie.Camden@gmail.com,142,6.82
